codigo_barras,id_venta,cantidad_producto,monto_producto
98981,VENT-001,1,700
56789,VENT-001,1,100
34564,VENT-002,1,69
14325,VENT-002,2,87
98981,VENT-003,1,700
34564,VENT-003,1,69
14325,VENT-003,1,87
41234,VENT-004,2,20
56789,VENT-005,3,100
14325,VENT-005,2,87
98981,VENT-005,1,700
41234,VENT-006,1,20
56789,VENT-007,1,100
34564,VENT-007,1,69
41234,VENT-007,1,20
41234,VENT-008,1,20
56789,VENT-008,1,100
34564,VENT-008,1,69
14325,VENT-008,1,87
98981,VENT-009,3,700
41234,VENT-010,5,100
41234,VENT-011,1,20
23456,VENT-011,1,70
76589,VENT-012,1,50
56789,VENT-013,2,100
76589,VENT-013,1,50
10103,VENT-013,1,3599
76589,VENT-014,2,50
41234,VENT-014,1,20
10103,VENT-015,3,3599
23456,VENT-016,10,70
76589,VENT-017,1,50
