1	40	46 descripcion	1
2	43.7	32 descripcion	2
3	47.4	50 descripcion	3
4	51.1	20 descripcion	1
5	54.8	32 descripcion	2
6	58.5	17 descripcion	3
7	62.2	14 descripcion	4
8	65.9	8 descripcion	5
9	69.6	4 descripcion	6
10	73.3	7 descripcion	7
11	77	16 descripcion	8
12	80.7	14 descripcion	9
13	84.4	41 descripcion	10
14	88.1	19 descripcion	11
15	91.8	21 descripcion	1
16	95.5	22 descripcion	2
17	99.2000000000001	50 descripcion	3
18	102.9	40 descripcion	4
19	106.6	21 descripcion	5
20	110.3	9 descripcion	6
21	114	5 descripcion	7
22	117.7	30 descripcion	8
23	121.4	28 descripcion	9
24	125.1	7 descripcion	10
